epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8458,0.76704,0.47198,1.07592,0.94643,0.93529,0.93211,0.77942,0.6617,0.40737,0.97823,0.00014,0.00014,0.00014
2,172.113,0.6807,0.41772,0.99963,0.95145,0.92214,0.9497,0.7962,0.64774,0.39997,0.9828,0.00029703,0.00029703,0.00029703
